wo_num,part_num,description,customer,qty_tbr,yield,mrb,scrap,due,process,timestamp
1076,F_1719595.F,"AXLE, MAIN DRIVE",NOVA AEROSPACE SYSTEMS,0,1,0,0,74,"CORE, STATOR",2024-09-17 5:04
1077,F_1719595.F,"PIN, ROTATION",SKYWORKS SOLUTIONS,92,91,0,0,53,"BOLT, UPPER ARM",2024-09-17 5:04
1078,F_1719897.B,"DISK, ROTOR",TERA TECHNOLOGIES LTD.,41,21,0,0,67,"GASKET, SEAL N.E.S.",2024-09-17 5:04
1081,F_1719897.B,"SLEEVE, MAIN SPINDLE",PHOENIX AVIATION CORP.,0,66,0,0,62,"FRAME, PRIMARY INSP UNIT",2024-09-17 5:04
1401,F_161W2317-1.A,"BOLT, LOWER MOUNT",HORIZON ELECTRICAL SYSTEMS,0,30,0,0,83,"CLIP, RETENTION",2024-09-17 5:04
1886,D_81706106.02,"SEAL, BEARING N.D.E.",STARLINE AEROSPACE LLC,0,35,0,0,58,"DISK, ROTATION",2024-09-17 5:04
2126,F_81711412.01,"FRAME, MAIN INSPECTION UNIT",VENTURE AEROSPACE GMBH,0,26,0,0,89,"RING, FASTENER",2024-09-17 5:04
2154,F_161A1312-1.AA,"CLIP, LOCK",SKYWORKS SOLUTIONS,0,69,0,0,92,"BRACKET, SUPPORT",2024-09-17 5:04
2209,F_161A1216-2.AD,"WASHER-SPLINED, DRIVE LINK",ATLAS AIR COMPONENTS,0,72,0,0,49,"PIN, ALIGNMENT",2024-09-17 5:04
2441,F_12246.C,"BRACKET, SUPPORT",TERA TECHNOLOGIES LTD.,95,1,0,0,41,"PLATE, MIDSECTION",2024-09-17 5:04
2637,F_7003036.E,"ROD, ROTOR",NEXUS AIRCRAFT SYSTEMS,0,44,0,0,45,TASKS,2024-09-17 5:04
2771,D_161A2128-2.AA,"WASHER, FIXTURE",PHOENIX AVIATION CORP.,92,20,0,0,61,"GROMMET, BUFFER",2024-09-17 5:04
2939,F_002-MDWG-000458.A,"PANEL, MIDSECTION",VECTOR AEROSPACE LTD.,0,82,0,0,54,"SEAL, CUSHION",2024-09-17 5:04
2945,PROJECTS,OPERATIONS,COSMOS AERONAUTICS INC.,0,62,0,0,93,"CLIP, FIXTURE",2024-09-17 5:04
2947,D_161A2128-1.AA,"GROMMET, BUFFER",SKYLINE AEROSPACE SP. Z O.O.,15,58,0,0,10,"COVER, ASSEMBLY",2024-09-17 5:04
