wo_num,in_quality,part_num,description,qty,date,progress,mrb,mrb_qty,mrb_date,timestamp
1076,0,F_B1316-06022.C000,"AXLE, MAIN DRIVE",N/A,N/A,N/A,TRUE,3,12/12/2019 10:03:37,2024-09-19 7:14
1077,0,F_002-MDWG-000461.A,"PIN, ROTATION",N/A,N/A,N/A,TRUE,2,02/27/2020 14:43:57,2024-09-19 7:14
1078,2,F_01241801-003.03,"DISK, ROTOR",3,2022-09-12,19-May,FALSE,0,N/A,2024-09-19 7:14
1081,0,F_01385055-526.05,"SLEEVE, MAIN SPINDLE",N/A,N/A,N/A,TRUE,3,07/05/2019 10:44:14,2024-09-19 7:14
1401,0,F_2143M6508-3M1.AA,"BOLT, LOWER MOUNT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
1886,0,F_87P528225-7.A000-PRE,"SEAL, BEARING N.D.E.",N/A,N/A,N/A,TRUE,1,09/30/2020 15:45:23,2024-09-19 7:14
2126,0,F_1719897.B,"FRAME, MAIN INSPECTION UNIT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
2154,0,F_01600018-570.01,"CLIP, LOCK",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
2209,0,D_T-8669-2552-10.01,"WASHER-SPLINED, DRIVE LINK",N/A,N/A,N/A,TRUE,39,10/29/2021 16:12:01,2024-09-19 7:14
2441,0,F_982R067999.J,"BRACKET, SUPPORT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
2637,2,D_T-8669-2550-42.A,"ROD, ROTOR",3,2022-10-12,25-Dec,FALSE,0,N/A,2024-09-19 7:14
2771,0,D_T-8669-2550-43.A,"WASHER, FIXTURE",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
2939,2,D_T-8669-3048-00.A,"PANEL, MIDSECTION",4,2020-01-24,12-Dec,FALSE,0,N/A,2024-09-19 7:14
2945,0,F_982R067999.J,OPERATIONS,N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
2947,0,D_T-8669-2550-32.A,"GROMMET, BUFFER",N/A,N/A,N/A,TRUE,1,09/10/2021 10:47:39,2024-09-19 7:14
2948,0,D_T-8669-2553-30.01,"RETAINER, WASHER",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
2970,0,F_ADC757163D2.-,"WASHER-SPLINED, DRIVE LINK",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
2978,0,F_ADC73220Y5D2.A,"CAP, END STOP",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
2979,2,F_1726367.-,"PLUG, END CAP",2,2022-10-23,18-Nov,FALSE,0,N/A,2024-09-19 7:14
3077,0,F_2144M5296-3.AD,"PIN, ROTOR SHAFT",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
3078,0,D_T-8669-2550-02.A,"STUD, ROTOR ALIGNMENT",N/A,N/A,N/A,TRUE,1,02/08/2021 12:13:36,2024-09-19 7:14
3122,0,F_1201-23102-801.-,"TENSION BUMPER, SIZE 5",N/A,N/A,N/A,FALSE,0,N/A,2024-09-19 7:14
